,l1,MSE,Infty,max_std,expected_std,num_layer_gnn_past,num_layer_gnn_future,dropout,past_step,future_step,data,name
34,57.26029369863096,23933.839362197632,9866.084045410156,645.8887409182663,109.34261111592735,2,1,0.15,5,15,2024-02-09 05:38:29,GLSTMseq2seq
35,57.303106073189866,14890.318856093336,12542.6328125,817.2814350366807,98.61887524344496,2,1,0.1,15,15,2024-02-12 23:17:41,GCN_LSTMseq2seq
36,58.07221242439017,143411.194094521,126346.83837890624,7963.334778754306,127.18303352931208,2,1,0.1,10,30,2024-02-12 05:43:56,GCN_LSTMseq2seq
37,58.207667955359234,48746.84480605902,70964.9921875,4522.775416784644,116.37695870435957,2,1,0.1,5,10,2024-02-09 01:13:01,GCN_LSTMseq2seq
38,58.307850353958,24591.85246908151,10490.56021118164,667.9424513160409,117.39097963217182,2,1,0.15,5,5,2024-02-08 21:51:15,GLSTMseq2seq
39,59.56409640568142,25005.56921232292,9946.143920898438,677.7670373143056,121.12713628975536,2,1,0.1,10,15,2024-02-11 03:40:15,GAT_LSTMseq2seq
40,60.14697480752493,29086.95169268505,19615.24609375,1271.7855846743705,126.13317653490402,2,1,0.1,5,10,2024-02-09 01:13:01,GAT_LSTMseq2seq
41,60.8501728124384,35004.77216342411,40657.98706054688,2544.589553335151,111.88957478679065,2,1,0.1,10,10,2024-02-10 21:49:27,GAT_LSTMseq2seq
42,62.80897079910673,19339.80806319669,9924.936584472656,638.9840821032597,113.00807461561196,2,1,0.1,20,10,2024-02-08 04:24:31,GCN_LSTMseq2seq
43,64.3741145801106,398403.1953640825,120506.33984375,7533.599032749373,160.40458352437824,2,1,0.1,10,10,2024-02-10 21:49:27,GCN_LSTMseq2seq
44,65.48982025422319,29038.48586686732,31587.9140625,1998.3689138285124,129.01549770585927,2,1,0.1,5,30,2024-02-10 02:40:26,GAT_LSTMseq2seq
45,65.64471577263289,35326.41742510224,18758.640625,1299.5791584701517,134.44722140061307,2,1,0.1,10,20,2024-02-11 10:56:51,GAT_LSTMseq2seq
46,65.75199221471932,25647.864110466424,10149.8203125,657.4351227043956,125.09917431163952,2,1,0.1,20,10,2024-02-08 04:24:32,GAT_LSTMseq2seq
47,68.21368415882938,31189.19087934377,9747.250099182129,740.9551646345462,124.65046549346674,2,1,0.1,10,35,2024-02-12 17:24:39,GAT_LSTMseq2seq
48,68.73855702696514,27692.5177708053,25323.890625,1587.1695402204402,126.06180997936984,2,1,0.1,15,5,2024-02-12 19:07:43,GCN_LSTMseq2seq
49,69.43610005233516,41270.760400971936,10184.274230957031,848.4605738008943,150.31710156604677,2,1,0.1,5,25,2024-02-09 18:12:55,GAT_LSTMseq2seq
50,72.59483408965338,77836.90379122851,51400.09375,3226.8135502829496,151.93064600854078,2,1,0.1,20,5,2024-02-13 15:23:24,GCN_LSTMseq2seq
51,73.24517357011518,484539.2441236293,122373.802734375,7841.15602392364,245.84622646405185,2,1,0.15,30,50,2024-02-02 06:51:11,GAT_LSTM
52,73.32724090184101,37468.13484157405,10559.328063964844,677.9236254264575,152.12365750867812,2,1,0.1,5,5,2024-02-08 21:51:15,GAT_LSTMseq2seq
53,73.94742191636055,493707.5018662688,122676.02490234376,7858.179823971453,250.61503091023835,2,1,0.15,30,50,2024-02-02 06:51:13,GLSTM
54,75.02529539349604,75300.38018987096,67324.06103515625,4781.554688255207,149.89028868116597,2,1,0.1,5,5,2024-02-08 21:51:15,GCN_LSTMseq2seq
55,76.57378048818963,485275.7361359575,123483.7998046875,7912.413052121049,245.75857100092048,2,1,0.15,30,50,2024-02-02 06:51:10,GCN_LSTM
56,82.71204866658266,30444.80216676575,10489.279220581057,668.975138483401,143.52526110096352,2,1,0.1,10,5,2024-02-10 17:11:48,GCN_LSTMseq2seq
57,88.59972170332861,706746.1616069534,119846.630859375,7561.990063301986,320.7691099371539,2,1,0.15,20,10,2024-02-08 04:24:32,GAT_LSTM
58,89.03505664396613,64595.13914280754,38644.49755859375,2417.016729551914,182.6715913740616,2,1,0.15,10,5,2024-02-10 17:11:48,GLSTMseq2seq
59,89.2666446194341,752238.3353192577,121145.13818359376,7669.528515165821,319.6850467788676,2,1,0.15,20,10,2024-02-08 04:24:33,GLSTM
60,103.62644228592583,46314.703322074834,10559.66844177246,688.1209167899852,161.17992811910287,2,1,0.1,10,5,2024-02-10 17:11:48,GAT_LSTMseq2seq
61,129.0381180722674,709555.3029684275,118959.611328125,7547.619997801041,348.02302282813963,2,1,0.15,20,10,2024-02-08 04:24:31,GCN_LSTM
